symbol_id,latex,class_index,development_count,frequency_group
753,\Rightarrow,217,1425,High frequency
756,\hookrightarrow,218,540,High frequency
757,\Longleftrightarrow,219,194,Medium frequency
758,\searrow,220,114,Low frequency
759,\longmapsto,221,146,Medium frequency
761,\leftarrow,222,169,Medium frequency
762,\Longrightarrow,223,219,Medium frequency
763,\uparrow,224,184,Medium frequency
764,\Leftarrow,225,113,Low frequency
765,\longrightarrow,226,196,Medium frequency
767,\Leftrightarrow,227,1000,High frequency
768,\mapsto,228,741,High frequency
770,\leftrightarrow,229,409,High frequency
771,\nearrow,230,162,Medium frequency
775,\rightleftharpoons,231,169,Medium frequency
777,\rightharpoonup,232,176,Medium frequency
778,\leadsto,233,505,High frequency
783,\circlearrowleft,234,135,Medium frequency
785,\rightleftarrows,235,99,Low frequency
786,\circlearrowright,236,113,Low frequency
788,\rightrightarrows,237,113,Low frequency
791,\rightsquigarrow,238,138,Medium frequency
792,\curvearrowright,239,131,Medium frequency
801,\twoheadrightarrow,240,336,High frequency
809,\nRightarrow,241,78,Low frequency
812,\nrightarrow,242,149,Medium frequency
817,\upharpoonright,243,113,Low frequency
822,\mapsfrom,244,97,Low frequency
823,\shortrightarrow,245,222,Medium frequency
827,\lightning,246,445,High frequency
837,\vartheta,247,228,Medium frequency
838,\varpi,248,118,Medium frequency
881,\bot,249,593,High frequency
882,\forall,250,1732,High frequency
884,\ni,251,396,High frequency
885,\top,252,272,Medium frequency
886,\ell,253,731,High frequency
887,\hbar,254,420,High frequency
888,\in,255,1859,High frequency
889,\notin,256,1057,High frequency
890,\wp,257,288,Medium frequency
891,\exists,258,1135,High frequency
892,\Im,259,97,Low frequency
894,\Re,260,156,Medium frequency
901,\nexists,261,252,Medium frequency
912,\langle,262,616,High frequency
913,\rangle,263,129,Medium frequency
914,\lceil,264,281,Medium frequency
915,\rceil,265,141,Medium frequency
916,\lfloor,266,340,High frequency
917,\rfloor,267,119,Medium frequency
918,[,268,742,High frequency
919,],269,210,Medium frequency
920,|,270,413,High frequency
921,\|,271,300,Medium frequency
922,/,272,430,High frequency
923,\llbracket,273,625,High frequency
924,\rrbracket,274,141,Medium frequency
934,\vdots,275,330,High frequency
936,\ddots,276,323,High frequency
941,\dotsc,277,122,Medium frequency
943,\aleph,278,617,High frequency
944,\infty,279,2360,High frequency
945,\prime,280,119,Medium frequency
946,\angle,281,194,Medium frequency
947,\diamondsuit,282,89,Low frequency
948,\sharp,283,192,Medium frequency
949,\backslash,284,211,Medium frequency
950,\emptyset,285,769,High frequency
951,\nabla,286,985,High frequency
953,\flat,287,103,Low frequency
956,\clubsuit,288,221,Medium frequency
957,\heartsuit,289,737,High frequency
958,\neg,290,682,High frequency
959,\triangle,291,256,Medium frequency
960,\sqrt{},292,792,High frequency
965,\sphericalangle,293,83,Low frequency
968,\square,294,1765,High frequency
971,\triangledown,295,157,Medium frequency
972,\blacksquare,296,325,High frequency
973,\lozenge,297,125,Medium frequency
974,\varnothing,298,373,High frequency
977,\vartriangle,299,90,Low frequency
992,\iddots,300,193,Medium frequency
993,\mathcal{A},301,291,Medium frequency
994,\mathcal{B},302,130,Medium frequency
995,\mathcal{C},303,149,Medium frequency
996,\mathcal{D},304,165,Medium frequency
997,\mathcal{E},305,228,Medium frequency
998,\mathcal{F},306,318,High frequency
999,\mathcal{G},307,92,Low frequency
1000,\mathcal{H},308,195,Medium frequency
1004,\mathcal{L},309,601,High frequency
1005,\mathcal{M},310,178,Medium frequency
1006,\mathcal{N},311,267,Medium frequency
1007,\mathcal{O},312,702,High frequency
1008,\mathcal{P},313,292,Medium frequency
1010,\mathcal{R},314,130,Medium frequency
1011,\mathcal{S},315,148,Medium frequency
1012,\mathcal{T},316,149,Medium frequency
1013,\mathcal{U},317,92,Low frequency
1016,\mathcal{X},318,100,Low frequency
1018,\mathcal{Z},319,126,Medium frequency
1019,\mathfrak{A},320,124,Medium frequency
1031,\mathfrak{M},321,89,Low frequency
1037,\mathfrak{S},322,180,Medium frequency
1042,\mathfrak{X},323,93,Low frequency
1045,\mathbb{1},324,768,High frequency
1046,\mathds{1},325,251,Medium frequency
1051,\mathds{C},326,337,High frequency
1053,\mathds{E},327,164,Medium frequency
1062,\mathds{N},328,823,High frequency
1064,\mathds{P},329,160,Medium frequency
1065,\mathds{Q},330,179,Medium frequency
1066,\mathds{R},331,1926,High frequency
1074,\mathds{Z},332,816,High frequency
1075,\mathscr{A},333,149,Medium frequency
1077,\mathscr{C},334,177,Medium frequency
1078,\mathscr{D},335,113,Low frequency
1079,\mathscr{E},336,81,Low frequency
1080,\mathscr{F},337,106,Low frequency
1082,\mathscr{H},338,169,Medium frequency
1086,\mathscr{L},339,651,High frequency
1090,\mathscr{P},340,93,Low frequency
1093,\mathscr{S},341,156,Medium frequency
1101,\celsius,342,266,Medium frequency
1102,\degree,343,543,High frequency
1103,\ohm,344,267,Medium frequency
1111,\venus,345,102,Low frequency
1112,\mars,346,184,Medium frequency
1115,\astrosun,347,241,Medium frequency
1116,\fullmoon,348,114,Low frequency
1117,\leftmoon,349,81,Low frequency
1168,\female,350,142,Medium frequency
1169,\male,351,308,Medium frequency
1177,\checked,352,226,Medium frequency
1184,\diameter,353,158,Medium frequency
1185,\sun,354,131,Medium frequency
1187,\Bowtie,355,217,Medium frequency
1314,\mathbb{Q},356,42,Low frequency
1315,\mathbb{N},357,41,Low frequency
1316,\mathbb{Z},358,53,Low frequency
1317,\mathbb{H},359,58,Low frequency
1369,\ss,360,194,Medium frequency
1371,\aa,361,186,Medium frequency
1374,\L,362,80,Low frequency
1382,\AA,363,614,High frequency
1385,\O,364,192,Medium frequency
1394,\o,365,254,Medium frequency
1395,\ae,366,231,Medium frequency
1396,\AE,367,121,Medium frequency
1400,\guillemotleft,368,86,Low frequency
